,frame_number,face_id,gender,race
0,31.0,0.0,Man,white
0,51.0,1.0,Man,white
0,71.0,2.0,Man,black
0,91.0,3.0,Man,latino hispanic
0,101.0,4.0,Man,asian
0,111.0,5.0,Man,asian
0,121.0,6.0,Man,asian
0,131.0,7.0,Man,white
0,141.0,8.0,Man,latino hispanic
1,141.0,9.0,Man,indian
2,141.0,10.0,Man,white
3,141.0,11.0,Man,white
0,151.0,12.0,Man,white
1,151.0,13.0,Woman,latino hispanic
2,151.0,14.0,Man,white
0,191.0,15.0,Man,white
0,221.0,16.0,Man,latino hispanic
0,231.0,17.0,Man,white
0,241.0,18.0,Man,indian
1,241.0,19.0,Man,white
0,251.0,20.0,Man,asian
1,251.0,21.0,Man,white
0,271.0,22.0,Man,asian
1,271.0,23.0,Man,latino hispanic
0,281.0,24.0,Man,middle eastern
1,281.0,25.0,Man,asian
0,291.0,26.0,Man,asian
0,301.0,27.0,Man,white
0,311.0,28.0,Man,middle eastern
0,321.0,29.0,Man,white
0,351.0,30.0,Man,middle eastern
0,371.0,31.0,Man,asian
0,391.0,32.0,Man,white
0,441.0,33.0,Man,asian
0,451.0,34.0,Man,asian
0,471.0,35.0,Man,white
0,481.0,36.0,Man,middle eastern
0,511.0,37.0,Man,white
0,531.0,38.0,Man,white
0,551.0,39.0,Man,white
0,561.0,40.0,Man,white
1,561.0,41.0,Man,asian
0,621.0,42.0,Man,white
0,651.0,43.0,Woman,latino hispanic
1,651.0,44.0,Man,white
0,661.0,45.0,Man,latino hispanic
0,671.0,46.0,Woman,white
0,681.0,47.0,Woman,latino hispanic
0,691.0,48.0,Man,white
1,691.0,49.0,Woman,middle eastern
0,701.0,50.0,Man,middle eastern
1,701.0,51.0,Woman,white
0,711.0,52.0,Man,white
1,711.0,53.0,Woman,white
0,721.0,54.0,Woman,latino hispanic
1,721.0,55.0,Man,white
0,731.0,56.0,Man,white
0,741.0,57.0,Man,middle eastern
0,931.0,58.0,Man,white
0,951.0,59.0,Man,white
0,981.0,60.0,Man,white
0,991.0,61.0,Man,middle eastern
1,991.0,62.0,Man,middle eastern
0,1001.0,63.0,Man,white
0,1011.0,64.0,Man,middle eastern
0,1021.0,65.0,Man,white
0,1031.0,66.0,Man,white
0,1051.0,67.0,Man,white
0,1061.0,68.0,Man,white
0,1071.0,69.0,Man,white
1,1071.0,70.0,Man,white
0,1081.0,71.0,Man,middle eastern
0,1111.0,72.0,Man,white
1,1111.0,73.0,Man,white
0,1121.0,74.0,Man,white
1,1121.0,75.0,Man,black
0,1141.0,76.0,Man,white
1,1141.0,77.0,Man,white
0,1151.0,78.0,Man,white
1,1151.0,79.0,Man,white
0,1161.0,80.0,Man,middle eastern
0,1171.0,81.0,Man,middle eastern
1,1171.0,82.0,Man,white
2,1171.0,83.0,Man,white
0,1181.0,84.0,Man,white
0,1191.0,85.0,Man,middle eastern
0,1271.0,86.0,Man,latino hispanic
0,1291.0,87.0,Man,white
1,1291.0,88.0,Woman,white
2,1291.0,89.0,Man,asian
0,1301.0,90.0,Man,white
1,1301.0,91.0,Woman,white
0,1311.0,92.0,Man,middle eastern
0,1321.0,93.0,Man,white
0,1331.0,94.0,Man,white
0,1341.0,95.0,Man,white
1,1341.0,96.0,Man,asian
0,1361.0,97.0,Man,latino hispanic
0,1371.0,98.0,Man,white
1,1371.0,99.0,Woman,white
0,1381.0,100.0,Man,latino hispanic
0,1391.0,101.0,Man,white
1,1391.0,102.0,Woman,white
0,1401.0,103.0,Woman,white
1,1401.0,104.0,Man,white
2,1401.0,105.0,Man,white
0,1411.0,106.0,Man,white
1,1411.0,107.0,Woman,white
2,1411.0,108.0,Man,white
0,1421.0,109.0,Man,white
1,1421.0,110.0,Woman,white
0,1431.0,111.0,Woman,white
0,1441.0,112.0,Woman,white
0,1451.0,113.0,Man,white
1,1451.0,114.0,Woman,white
0,1461.0,115.0,Woman,white
0,1501.0,116.0,Man,white
0,1511.0,117.0,Man,latino hispanic
0,1571.0,118.0,Man,asian
0,1581.0,119.0,Man,latino hispanic
0,1601.0,120.0,Man,white
1,1601.0,121.0,Man,white
0,1611.0,122.0,Man,white
0,1621.0,123.0,Man,middle eastern
0,1631.0,124.0,Woman,white
0,1641.0,125.0,Man,asian
0,1651.0,126.0,Man,white
1,1651.0,127.0,Woman,white
0,1661.0,128.0,Man,white
0,1681.0,129.0,Man,middle eastern
0,1691.0,130.0,Woman,white
0,1701.0,131.0,Man,latino hispanic
1,1701.0,132.0,Man,white
0,1721.0,133.0,Man,white
0,1731.0,134.0,Woman,white
0,1741.0,135.0,Man,white
0,1761.0,136.0,Man,white
1,1761.0,137.0,Woman,white
0,1771.0,138.0,Man,white
0,1781.0,139.0,Man,white
0,1791.0,140.0,Man,white
1,1791.0,141.0,Woman,white
2,1791.0,142.0,Man,middle eastern
0,1801.0,143.0,Man,white
1,1801.0,144.0,Woman,white
0,1811.0,145.0,Man,asian
1,1811.0,146.0,Woman,white
2,1811.0,147.0,Man,white
0,1821.0,148.0,Man,white
1,1821.0,149.0,Man,white
2,1821.0,150.0,Woman,white
3,1821.0,151.0,Man,white
0,1831.0,152.0,Woman,white
1,1831.0,153.0,Man,white
2,1831.0,154.0,Man,latino hispanic
0,1841.0,155.0,Man,asian
0,1851.0,156.0,Man,asian
1,1851.0,157.0,Man,white
0,1861.0,158.0,Woman,asian
1,1861.0,159.0,Man,white
0,1901.0,160.0,Man,white
1,1901.0,161.0,Woman,white
0,1941.0,162.0,Man,white
0,1951.0,163.0,Woman,white
1,1951.0,164.0,Man,white
0,1961.0,165.0,Man,white
0,1991.0,166.0,Man,white
1,1991.0,167.0,Man,white
0,2001.0,168.0,Woman,white
0,2011.0,169.0,Man,white
0,2021.0,170.0,Woman,white
0,2031.0,171.0,Woman,white
0,2041.0,172.0,Man,white
1,2041.0,173.0,Woman,asian
2,2041.0,174.0,Woman,white
3,2041.0,175.0,Man,asian
4,2041.0,176.0,Woman,white
5,2041.0,177.0,Woman,white
6,2041.0,178.0,Man,black
7,2041.0,179.0,Woman,white
0,2051.0,180.0,Man,middle eastern
1,2051.0,181.0,Man,white
2,2051.0,182.0,Woman,black
3,2051.0,183.0,Man,asian
4,2051.0,184.0,Man,white
5,2051.0,185.0,Woman,white
6,2051.0,186.0,Man,white
7,2051.0,187.0,Woman,white
8,2051.0,188.0,Man,black
0,2061.0,189.0,Man,white
0,2091.0,190.0,Man,white
1,2091.0,191.0,Woman,asian
0,2101.0,192.0,Man,white
1,2101.0,193.0,Woman,black
0,2111.0,194.0,Man,white
0,2141.0,195.0,Man,white
0,2161.0,196.0,Man,white
0,2171.0,197.0,Man,middle eastern
1,2171.0,198.0,Man,white
0,2181.0,199.0,Man,latino hispanic
1,2181.0,200.0,Man,middle eastern
2,2181.0,201.0,Man,middle eastern
0,2191.0,202.0,Man,latino hispanic
1,2191.0,203.0,Man,white
2,2191.0,204.0,Man,white
3,2191.0,205.0,Man,black
4,2191.0,206.0,Man,black
0,2201.0,207.0,Man,middle eastern
