,frame_number,face_id,gender,race
0,9.0,0.0,Man,white
0,33.0,1.0,Man,latino hispanic
0,45.0,2.0,Man,white
0,49.0,3.0,Man,black
0,53.0,4.0,Man,white
0,65.0,5.0,Man,white
0,69.0,6.0,Woman,asian
1,69.0,7.0,Man,white
0,93.0,8.0,Man,latino hispanic
0,97.0,9.0,Man,white
0,101.0,10.0,Man,white
0,105.0,11.0,Man,middle eastern
0,109.0,12.0,Man,white
0,113.0,13.0,Man,asian
0,161.0,14.0,Man,white
0,173.0,15.0,Man,white
0,177.0,16.0,Man,white
0,181.0,17.0,Man,white
0,193.0,18.0,Woman,white
0,197.0,19.0,Woman,white
0,201.0,20.0,Man,white
0,205.0,21.0,Man,white
0,209.0,22.0,Man,white
0,213.0,23.0,Man,white
0,217.0,24.0,Woman,white
0,221.0,25.0,Man,white
0,225.0,26.0,Man,white
0,229.0,27.0,Man,white
0,241.0,28.0,Man,white
0,253.0,29.0,Man,white
0,257.0,30.0,Man,white
1,257.0,31.0,Woman,white
2,257.0,32.0,Man,asian
0,261.0,33.0,Man,white
0,265.0,34.0,Man,white
0,277.0,35.0,Man,white
0,281.0,36.0,Woman,white
1,281.0,37.0,Man,white
2,281.0,38.0,Man,white
0,285.0,39.0,Woman,white
0,289.0,40.0,Man,white
0,293.0,41.0,Man,white
0,297.0,42.0,Man,white
1,297.0,43.0,Man,white
0,301.0,44.0,Man,white
0,309.0,45.0,Man,asian
0,313.0,46.0,Man,white
0,317.0,47.0,Man,white
0,321.0,48.0,Man,white
0,325.0,49.0,Man,white
0,329.0,50.0,Man,white
0,333.0,51.0,Man,white
0,337.0,52.0,Man,white
0,341.0,53.0,Man,white
0,345.0,54.0,Man,white
0,349.0,55.0,Man,white
0,353.0,56.0,Man,white
0,357.0,57.0,Man,white
0,361.0,58.0,Man,white
0,365.0,59.0,Man,white
0,369.0,60.0,Man,white
0,373.0,61.0,Man,white
0,377.0,62.0,Man,white
0,381.0,63.0,Man,white
0,385.0,64.0,Man,white
1,385.0,65.0,Man,white
0,389.0,66.0,Man,white
0,401.0,67.0,Man,white
1,401.0,68.0,Man,white
2,401.0,69.0,Man,white
3,401.0,70.0,Man,latino hispanic
0,409.0,71.0,Man,white
0,413.0,72.0,Man,white
0,421.0,73.0,Woman,asian
1,421.0,74.0,Woman,white
0,437.0,75.0,Man,white
0,441.0,76.0,Man,white
0,449.0,77.0,Man,white
0,453.0,78.0,Woman,white
0,465.0,79.0,Man,white
0,469.0,80.0,Man,white
0,489.0,81.0,Man,white
0,493.0,82.0,Man,white
0,497.0,83.0,Man,white
0,501.0,84.0,Man,white
0,513.0,85.0,Man,white
0,521.0,86.0,Man,white
0,593.0,87.0,Man,middle eastern
0,597.0,88.0,Man,white
0,601.0,89.0,Man,white
0,657.0,90.0,Man,middle eastern
1,657.0,91.0,Man,asian
0,673.0,92.0,Man,latino hispanic
0,697.0,93.0,Man,middle eastern
0,709.0,94.0,Man,white
0,725.0,95.0,Man,white
0,753.0,96.0,Man,white
0,781.0,97.0,Man,white
0,813.0,98.0,Man,white
0,841.0,99.0,Man,white
0,885.0,100.0,Woman,white
1,885.0,101.0,Man,middle eastern
0,889.0,102.0,Woman,white
0,893.0,103.0,Woman,white
0,905.0,104.0,Man,white
1,905.0,105.0,Man,white
0,921.0,106.0,Woman,white
0,925.0,107.0,Man,black
0,929.0,108.0,Woman,latino hispanic
0,933.0,109.0,Man,white
1,933.0,110.0,Man,white
0,937.0,111.0,Man,white
1,937.0,112.0,Man,white
0,941.0,113.0,Woman,white
0,953.0,114.0,Man,black
0,957.0,115.0,Man,white
0,961.0,116.0,Woman,white
0,965.0,117.0,Man,latino hispanic
0,969.0,118.0,Woman,white
0,973.0,119.0,Man,white
0,977.0,120.0,Man,white
0,981.0,121.0,Man,black
0,985.0,122.0,Man,white
0,989.0,123.0,Man,white
0,997.0,124.0,Man,black
0,1001.0,125.0,Man,black
0,1005.0,126.0,Woman,white
0,1009.0,127.0,Man,white
1,1009.0,128.0,Man,white
0,1013.0,129.0,Woman,middle eastern
1,1013.0,130.0,Man,asian
0,1017.0,131.0,Man,white
0,1025.0,132.0,Woman,white
0,1029.0,133.0,Woman,white
0,1033.0,134.0,Woman,white
0,1037.0,135.0,Woman,white
0,1041.0,136.0,Man,white
0,1049.0,137.0,Woman,middle eastern
1,1049.0,138.0,Man,middle eastern
0,1053.0,139.0,Man,white
1,1053.0,140.0,Man,middle eastern
0,1057.0,141.0,Man,white
1,1057.0,142.0,Man,middle eastern
0,1061.0,143.0,Man,black
1,1061.0,144.0,Man,white
2,1061.0,145.0,Man,asian
0,1065.0,146.0,Woman,white
0,1069.0,147.0,Woman,white
0,1073.0,148.0,Man,white
0,1077.0,149.0,Man,white
1,1077.0,150.0,Man,asian
0,1081.0,151.0,Man,white
0,1085.0,152.0,Man,white
1,1085.0,153.0,Man,asian
0,1089.0,154.0,Man,white
0,1097.0,155.0,Man,black
0,1101.0,156.0,Man,latino hispanic
0,1141.0,157.0,Man,white
0,1149.0,158.0,Man,white
0,1161.0,159.0,Woman,white
0,1173.0,160.0,Man,white
0,1177.0,161.0,Man,white
1,1177.0,162.0,Man,white
0,1181.0,163.0,Woman,white
0,1185.0,164.0,Woman,white
1,1185.0,165.0,Man,asian
0,1189.0,166.0,Woman,white
0,1193.0,167.0,Man,white
0,1201.0,168.0,Woman,white
1,1201.0,169.0,Man,white
0,1205.0,170.0,Woman,white
1,1205.0,171.0,Man,white
0,1209.0,172.0,Woman,white
1,1209.0,173.0,Man,white
0,1253.0,174.0,Man,white
0,1269.0,175.0,Man,white
0,1289.0,176.0,Woman,white
0,1305.0,177.0,Man,white
0,1309.0,178.0,Man,latino hispanic
0,1313.0,179.0,Man,white
0,1317.0,180.0,Woman,white
0,1321.0,181.0,Man,white
1,1321.0,182.0,Man,white
0,1325.0,183.0,Man,white
1,1325.0,184.0,Man,latino hispanic
0,1329.0,185.0,Woman,white
1,1329.0,186.0,Man,latino hispanic
0,1333.0,187.0,Man,white
0,1353.0,188.0,Man,white
0,1357.0,189.0,Man,white
0,1361.0,190.0,Man,white
0,1369.0,191.0,Man,white
0,1373.0,192.0,Man,middle eastern
0,1377.0,193.0,Man,white
0,1381.0,194.0,Man,white
0,1385.0,195.0,Man,white
0,1389.0,196.0,Man,white
0,1393.0,197.0,Man,white
0,1397.0,198.0,Man,white
0,1401.0,199.0,Man,white
0,1405.0,200.0,Man,white
0,1409.0,201.0,Man,white
0,1413.0,202.0,Man,white
0,1417.0,203.0,Man,white
0,1421.0,204.0,Man,white
0,1425.0,205.0,Man,white
0,1433.0,206.0,Man,white
0,1445.0,207.0,Man,white
0,1465.0,208.0,Man,black
0,1469.0,209.0,Man,white
0,1473.0,210.0,Man,white
0,1477.0,211.0,Man,white
0,1481.0,212.0,Man,white
0,1485.0,213.0,Man,white
0,1493.0,214.0,Man,latino hispanic
0,1501.0,215.0,Woman,white
0,1509.0,216.0,Man,white
0,1513.0,217.0,Man,white
0,1521.0,218.0,Woman,latino hispanic
0,1537.0,219.0,Man,asian
0,1541.0,220.0,Man,white
0,1545.0,221.0,Woman,latino hispanic
0,1549.0,222.0,Woman,white
0,1553.0,223.0,Man,white
0,1557.0,224.0,Woman,latino hispanic
0,1565.0,225.0,Woman,latino hispanic
0,1577.0,226.0,Man,latino hispanic
0,1581.0,227.0,Man,white
0,1597.0,228.0,Man,white
0,1601.0,229.0,Man,white
0,1605.0,230.0,Man,white
1,1605.0,231.0,Man,white
0,1609.0,232.0,Man,white
0,1613.0,233.0,Man,white
0,1617.0,234.0,Man,white
0,1621.0,235.0,Man,white
0,1629.0,236.0,Man,middle eastern
0,1633.0,237.0,Man,latino hispanic
0,1637.0,238.0,Man,white
0,1645.0,239.0,Man,white
0,1649.0,240.0,Man,white
0,1677.0,241.0,Man,white
0,1681.0,242.0,Woman,white
0,1685.0,243.0,Woman,white
0,1689.0,244.0,Woman,white
0,1693.0,245.0,Man,white
